use kullanmak
learn öğrenmek
engine motor
need ihtiyaç
infinite sonsuz
describe tanımlamak
descriptive tanımlayıcı
convert dönüştürmek
assing atamak
divide bölmek
value değer
compare karşılaştırmak
assignment atamak
equal eşit
condition şart
comparasion karşılaştırmak
statement açıklama
return döndürmek
create oluşturmak
bring getirmek
together birarada
talk konuşmak
require gerekmek
everything herşey
experience deneyim
tutorial öğretici
verify doğrulamak
veriable değişken
default varsayılan
execute uygulamak
process işlem
contain içermek
specify belirtmek
rule kural
separate ayırmak
estimate tahmin
size boyut
improve geliştirmek
information bilgi
duplication çoğaltmak
immediately hemen
behave davranmak
empty boş
define tanımlamak
click tıklamak
actually aslında
iteration tekrarlama
shape şekil
produce üretmek
instructor eğitmen
favor iyilik
reverse ters
type tür
recommend önermek
core çekirdek
entrance giriş
view görüş
different farklı
reason sebep
piece parça
make yapmak
line çizgi
result sonuç
create oluşturmak
indentation girinti
execute gerçekleştirmek
insert eklemek
replace yerdeğiştirmek
belong aitolmak
missing eksik
remove kaldırmak
scope kapsam
information bilgi
display görüntüle
comment yorum
correct uygun
consider düşünmek
initialize başlatmak
order emir
append eklemek
expect beklemek
pick seçmek
stack yığın
add ekle
tool alet
try denemek
except hariç
long uzun
remember hatırlatmak
increase arttırmak
loop döngü
less az
folder dosya
find bulmak
select seçmek
above üstünde
below aşağıda
